"npo.id","year","n.page"
"541","2013","2"
"541","2014","2"
"546","2011","15"
"546","2012","13"
"546","2013","15"
"546","2014","15"
"571","2012","9"
"571","2013","3"
"571","2014","3"
"582","2014","2"
"598","2014","12"
"603","2006","2"
"603","2007","2"
"603","2008","2"
"603","2009","2"
"603","2010","2"
"603","2012","13"
"609","2009","2"
"609","2010","19"
"609","2011","13"
"609","2012","11"
"609","2013","12"
"609","2014","15"
"619","2006","5"
"619","2007","11"
"619","2008","5"
"619","2009","3"
"619","2010","4"
"619","2011","13"
"619","2012","13"
"619","2013","10"
"619","2014","11"
"620","2007","11"
"620","2008","5"
"620","2009","5"
"620","2010","4"
"620","2011","13"
"620","2012","13"
"620","2013","15"
"620","2014","17"
"623","2007","2"
"623","2008","1"
"623","2009","1"
"623","2010","5"
"623","2011","2"
"623","2012","2"
"623","2013","2"
"623","2014","2"
"628","2006","21"
"628","2007","2"
"628","2008","1"
"628","2009","1"
"628","2010","19"
"628","2011","17"
"628","2012","19"
"628","2013","24"
"628","2014","25"
"634","2006","2"
"634","2007","6"
"634","2008","5"
"634","2009","3"
"634","2010","6"
"634","2012","2"
"634","2013","2"
"634","2014","3"
"653","2008","14"
"653","2009","13"
"653","2010","13"
"653","2011","13"
"653","2012","13"
"653","2013","13"
"653","2014","13"
"670","2006","5"
"670","2007","5"
"670","2008","2"
"670","2009","3"
"670","2010","5"
"670","2011","8"
"670","2012","2"
"670","2013","2"
"670","2014","2"
"687","2006","2"
"687","2007","2"
"687","2008","2"
"687","2009","2"
"687","2010","2"
"687","2011","3"
"687","2012","6"
"687","2013","6"
"687","2014","3"
"723","2007","3"
"723","2008","17"
"723","2010","14"
"723","2011","23"
"723","2012","5"
"723","2013","14"
"723","2014","14"
"766","2009","3"
"766","2010","4"
"766","2011","6"
"766","2012","3"
"766","2013","2"
"766","2014","3"
"768","2012","12"
"768","2013","11"
"768","2014","10"
"776","2010","11"
"776","2012","14"
"776","2013","11"
"776","2014","12"
"778","2011","6"
"778","2012","2"
"778","2013","2"
"779","2012","15"
"779","2013","14"
"779","2014","14"
"782","2007","16"
"782","2008","3"
"782","2009","12"
"782","2010","19"
"782","2011","14"
"782","2012","14"
"782","2013","16"
"782","2014","16"
"794","2010","2"
"794","2011","6"
"794","2012","8"
"794","2013","19"
"794","2014","19"
"796","2012","3"
"796","2013","3"
"796","2014","3"
"808","2006","7"
"808","2007","6"
"808","2008","7"
"808","2009","6"
"808","2010","5"
"808","2011","5"
"808","2012","2"
"808","2013","2"
"808","2014","2"
"814","2008","4"
"814","2009","2"
"814","2010","1"
"814","2011","2"
"814","2012","3"
"814","2013","3"
"815","2013","11"
"815","2014","11"
"829","2007","12"
"829","2008","4"
"829","2009","7"
"829","2010","4"
"829","2011","6"
"829","2012","20"
"829","2013","21"
"829","2014","20"
"849","2008","11"
"849","2009","13"
"849","2010","12"
"849","2011","12"
"849","2012","13"
"849","2013","3"
"849","2014","17"
"916","2006","2"
"916","2007","2"
"916","2008","13"
"916","2009","13"
"916","2010","25"
"916","2011","13"
"916","2012","12"
"916","2013","11"
"916","2014","13"
"937","2007","7"
"937","2008","3"
"937","2009","2"
"937","2010","4"
"937","2011","8"
"937","2012","8"
"937","2013","8"
"937","2014","12"
"942","2007","4"
"942","2008","1"
"942","2009","4"
"942","2010","4"
"942","2011","2"
"942","2012","2"
"942","2013","2"
"942","2014","2"
"948","2007","1"
"948","2008","5"
"948","2009","15"
"948","2010","7"
"948","2011","7"
"948","2012","2"
"948","2013","2"
"948","2014","2"
"954","2012","5"
"954","2013","5"
"954","2014","4"
"969","2007","5"
"969","2008","5"
"969","2009","3"
"969","2010","4"
"969","2011","11"
"969","2012","11"
"969","2013","11"
"969","2014","12"
"999","2011","2"
"999","2012","2"
"999","2013","2"
"1024","2007","1"
"1024","2008","1"
"1024","2009","4"
"1024","2010","10"
"1024","2011","15"
"1024","2012","15"
"1024","2013","16"
"1024","2014","17"
"1034","2010","9"
"1034","2011","2"
"1034","2012","2"
"1034","2013","5"
"1034","2014","2"
"1040","2014","3"
"1040","2013","3"
"1040","2012","3"
"1040","2011","6"
"1047","2006","4"
"1047","2007","4"
"1047","2008","3"
"1047","2009","3"
"1047","2010","3"
"1047","2011","2"
"1047","2012","4"
"1047","2013","2"
"1047","2014","2"
"1053","2007","2"
"1053","2008","12"
"1053","2009","12"
"1053","2010","15"
"1053","2011","16"
"1053","2012","15"
"1053","2013","16"
"1053","2014","15"
"1073","2006","4"
"1073","2007","2"
"1073","2008","2"
"1073","2009","2"
"1073","2010","2"
"1073","2011","2"
"1073","2012","10"
"1073","2013","11"
"1073","2014","11"
"1077","2014","17"
"1082","2012","2"
"1082","2013","2"
"1082","2014","2"
"1126","2013","9"
"1126","2014","9"
"1128","2007","8"
"1128","2008","7"
"1128","2009","7"
"1128","2010","5"
"1128","2011","3"
"1128","2012","19"
"1128","2013","11"
"1128","2014","11"
"1135","2012","12"
"1135","2013","10"
"1135","2014","12"
"1144","2007","3"
"1144","2008","5"
"1144","2009","5"
"1144","2010","2"
"1144","2011","2"
"1144","2012","2"
"1144","2013","2"
"1144","2014","2"
"1159","2010","11"
"1159","2011","13"
"1159","2012","15"
"1159","2013","14"
"1159","2014","13"
"1161","2006","10"
"1161","2007","2"
"1161","2008","1"
"1161","2009","4"
"1161","2010","10"
"1161","2011","10"
"1161","2012","10"
"1161","2013","10"
"1161","2014","9"
"1187","2008","1"
"1187","2009","1"
"1187","2010","2"
"1187","2011","4"
"1187","2012","3"
"1187","2013","4"
"1187","2014","2"
"1190","2011","4"
"1190","2012","2"
"1190","2013","2"
"1190","2014","2"
"1192","2013","21"
"1192","2014","22"
"1213","2006","10"
"1213","2007","11"
"1213","2008","15"
"1213","2009","19"
"1213","2010","15"
"1213","2011","17"
"1213","2013","16"
"1213","2014","22"
"1246","2009","2"
"1246","2010","3"
"1246","2011","3"
